,marketValue
0,399590000000
1,2055219999999
2,203010000000
3,172990000000
4,141820000000
5,220820000000
6,1340530000000
7,439390000000
8,2309840000000
9,2746210000000
10,205450000000
11,122670000000
12,188200000000
13,334310000000
14,460190000000
15,138560000000
16,142360000000
17,303540000000
18,122910000000
19,151190000000
20,151640000000
21,159040000000
22,409120000000
23,90030000000
24,186410000000
25,129840000000
26,110180000000
27,108300000000
28,70160000000
29,141760000000
30,599820000000
31,114320000000
32,78590000000
33,108720000000
34,415360000000
35,1084060000000
36,95450000000
37,135150000000
38,216280000000
40,422760000000
41,117180000000
42,78490000000
43,112920000000
44,423170000000
45,189190000000
46,75770000000
47,482450000000
48,70070000000
49,56180000000
50,337660000000
101,170460000000
102,91830000000
103,51580000000
104,216590000000
105,367760000000
106,106810000000
107,115170000000
108,63030000000
109,70000000000
110,51490000000
111,49840000000
112,55830000000
113,113460000000
114,109160000000
115,90610000000
116,41380000000
117,293950000000
118,77450000000
119,539000000000
120,46230000000
121,38400000000
122,128210000000
123,298740000000
124,261920000000
125,53500000000
126,253990000000
127,62880000000
128,110110000000
129,141120000000
130,261800000000
131,49970000000
132,267640000000
133,121450000000
134,62480000000
135,72940000000
136,56640000000
137,183630000000
138,59340000000
139,140170000000
140,150430000000
141,76890000000
142,58280000000
143,189430000000
144,208150000000
145,151100000000
146,276860000000
147,130650000000
148,51280000000
149,221320000000
150,109210000000
151,102090000000
152,81390000000
153,41230000000
154,38940000000
155,140020000000
156,70970000000
157,112920000000
158,48160000000
159,44940000000
160,78900000000
161,143150000000
162,82390000000
163,48860000000
164,51220000000
165,32960000000
166,47500000000
167,45360000000
168,210740000000
169,110970000000
170,88210000000
171,143970000000
172,477380000000
173,39490000000
174,47790000000
175,49180000000
176,233120000000
177,106130000000
178,110880000000
179,34400000000
180,67800000000
181,67730000000
182,47070000000
183,27130000000
184,262709999999
185,152790000000
186,42880000000
187,63470000000
188,53560000000
189,61720000000
190,56100000000
191,53760000000
192,193480000000
193,28960000000
194,48130000000
195,178900000000
196,51070000000
197,37830000000
198,33540000000
199,46370000000
200,48840000000
201,37150000000
202,31510000000
203,37500000000
204,55250000000
205,38210000000
206,31020000000
207,126380000000
208,68670000000
209,115370000000
210,176020000000
211,122740000000
212,179610000000
213,79150000000
214,30040000000
215,38700000000
216,148330000000
217,57630000000
218,41860000000
219,54630000000
220,87010000000
221,24850000000
222,119820000000
223,31600000000
224,30170000000
225,112280000000
226,40140000000
227,66810000000
228,68900000000
229,81720000000
230,121180000000
231,42890000000
232,250390000000
233,37690000000
234,76520000000
235,76520000000
236,132080000000
237,74450000000
238,21650000000
239,50100000000
240,61900000000
241,19730000000
242,105630000000
243,39820000000
244,122690000000
245,80510000000
246,115760000000
247,50440000000
248,18820000000
249,56210000000
250,43320000000
251,406110000000
252,66849999999
253,71950000000
254,41370000000
255,31030000000
256,97630000000
257,53390000000
258,43040000000
259,34790000000
260,18630000000
261,194580000000
262,99480000000
263,33950000000
264,21150000000
265,96820000000
266,39030000000
267,216550000000
268,63250000000
269,38570000000
270,33119999999
271,156950000000
272,42110000000
273,143480000000
274,56260000000
275,33200000000
276,24650000000
277,26210000000
278,18400000000
279,32360000000
280,41030000000
281,40760000000
282,60580000000
283,33110000000
284,41300000000
285,364340000000
286,359430000000
287,67849999999
288,25600000000
289,84180000000
290,254330000000
291,708400000000
292,57020000000
293,24700000000
294,58140000000
295,44210000000
296,66769999999
297,52780000000
298,93960000000
299,40840000000
300,28420000000
301,34049999999
302,18500000000
303,50710000000
304,32330000000
305,21360000000
306,26040000000
307,38480000000
308,23040000000
309,37530000000
310,58230000000
311,22820000000
312,90120000000
313,79200000000
314,65209999999
315,12460000000
316,35320000000
317,23830000000
318,39590000000
319,18030000000
320,19780000000
321,44850000000
322,32369999999
323,108470000000
324,29100000000
325,104220000000
326,36630000000
327,24330000000
328,14150000000
329,46110000000
330,29320000000
331,36000000000
332,26350000000
333,17600000000
334,45690000000
335,318070000000
336,25480000000
337,34009999999
338,79360000000
339,19290000000
340,18840000000
341,42390000000
342,74260000000
343,89020000000
344,26950000000
345,90480000000
346,27290000000
347,26500000000
348,66750000000
349,21730000000
350,13850000000
351,83340000000
352,122910000000
353,17760000000
354,36360000000
355,236000000000
356,42620000000
357,17110000000
358,53790000000
359,42330000000
360,47420000000
361,18760000000
362,35050000000
363,48750000000
364,16190000000
365,150510000000
366,98080000000
367,49600000000
368,26450000000
369,35850000000
370,30300000000
371,16450000000
372,67010000000
373,51120000000
374,34330000000
375,52270000000
376,13840000000
377,35360000000
378,75520000000
379,24170000000
380,59750000000
381,28160000000
382,24370000000
383,32110000000
384,32830000000
385,10940000000
386,83210000000
387,75820000000
388,707210000000
389,43260000000
390,36880000000
391,17360000000
392,21810000000
393,88730000000
394,27170000000
395,10780000000
396,18270000000
397,30340000000
398,14780000000
399,38190000000
400,511000000
401,30050000000
402,108080000000
403,47970000000
404,38600000000
405,29680000000
406,23070000000
407,15170000000
408,38020000000
409,64769999999
410,72040000000
411,113620000000
412,68180000000
413,43310000000
414,22900000000
415,92770000000
416,159810000000
417,287000000
418,23060000000
419,57590000000
420,122460000000
421,19660000000
422,50770000000
423,25450000000
424,43730000000
425,24740000000
426,80380000000
427,97360000000
428,54920000000
429,34480000000
430,58150000000
431,18160000000
432,30160000000
433,17720000000
434,27800000000
435,13540000000
436,52750000000
437,144520000000
438,20450000000
439,23630000000
440,68519999999
441,14520000000
442,21160000000
443,94890000000
444,9850000000
445,38080000000
446,27580000000
447,14700000000
448,29130000000
449,42670000000
450,32049999999
451,40940000000
452,52830000000
453,13480000000
454,78240000000
455,19310000000
456,18690000000
457,21630000000
458,47180000000
459,26990000000
460,55420000000
461,15600000000
462,14920000000
463,27830000000
464,42000000000
465,30290000000
466,38290000000
467,10110000000
468,32580000000
469,12110000000
470,9170000000
471,25940000000
472,129259999999
473,32540000000
474,14520000000
475,120400000000
476,53560000000
477,119320000000
478,3440000000
479,14330000000
480,42510000000
481,16350000000
482,83300000000
483,24320000000
484,20650000000
485,48230000000
486,53390000000
487,60640000000
488,47510000000
489,60470000000
490,23130000000
491,23620000000
492,56050000000
493,30070000000
494,38900000000
495,32939999999
496,39160000000
497,91690000000
498,71170000000
499,18280000000
500,40850000000
501,47580000000
502,65580000000
503,67069999999
504,14050000000
505,42000000000
506,41210000000
507,38780000000
508,59530000000
509,40840000000
510,16800000000
511,118610000000
512,75600000000
513,52240000000
514,15140000000
515,19900000000
516,35380000000
517,97910000000
518,19090000000
519,37810000000
520,46650000000
522,23770000000
523,18230000000
524,13460000000
525,41410000000
526,41630000000
527,53660000000
528,36770000000
529,34280000000
530,21900000000
531,16910000000
532,72670000000
533,38260000000
534,119500000000
535,29950000000
536,197590000000
537,11320000000
538,19280000000
539,17070000000
540,56680000000
541,12350000000
542,9680000000
543,66599999999
544,44400000000
545,24950000000
546,19000000000
547,48040000000
548,26070000000
549,18170000000
550,42750000000
551,65890000000
552,46830000000
553,28170000000
554,14680000000
555,36110000000
556,22000000000
557,18360000000
558,31840000000
559,38260000000
560,14370000000
561,75100000000
562,35640000000
563,13600000000
564,59150000000
565,31680000000
566,45540000000
567,28860000000
568,45480000000
569,28740000000
570,34390000000
571,17220000000
572,11720000000
573,39790000000
574,12950000000
575,229400000000
576,29990000000
577,10950000000
578,18560000000
579,18110000000
580,36390000000
581,32080000000
582,31050000000
583,97560000000
584,27000000000
585,27760000000
586,9050000000
587,36030000000
588,39400000000
589,16440000000
590,14290000000
591,22550000000
592,24760000000
593,43330000000
594,46130000000
595,25690000000
596,44630000000
597,14730000000
598,26960000000
599,18290000000
600,53180000000
601,21280000000
602,49130000000
603,12800000000
604,48980000000
605,63860000000
606,54600000000
607,22330000000
608,13370000000
609,31320000000
610,35070000000
611,69990000000
612,6410000000
613,8160000000
614,23360000000
615,6390000000
616,9070000000
617,11690000000
618,144680000000
619,14220000000
620,27860000000
621,38740000000
622,13640000000
623,7860000000
624,30420000000
625,26700000000
626,2910000000
627,11940000000
628,14330000000
629,22310000000
630,22700000000
631,10460000000
632,35570000000
633,35540000000
634,70990000000
635,15460000000
636,11590000000
637,30100000000
638,74100000000
639,32119999999
640,34580000000
641,17880000000
642,16219999999
643,19790000000
644,22050000000
645,72710000000
646,25680000000
647,15690000000
648,46040000000
649,35890000000
650,21960000000
651,33700000000
652,31500000000
653,18320000000
654,66860000000
655,35300000000
656,49520000000
657,5040000000
658,15650000000
659,14050000000
660,24620000000
661,19360000000
662,41850000000
663,21310000000
664,32250000000
665,12100000000
666,24760000000
667,17079999999
668,19530000000
669,35130000000
670,13010000000
671,6730000000
672,89650000000
673,13550000000
674,11130000000
675,11070000000
676,6440000000
677,25430000000
678,6040000000
679,4170000000
680,30290000000
681,1520000000
682,40320000000
683,32490000000
684,11280000000
685,14620000000
686,108170000000
687,23170000000
688,51390000000
689,24050000000
690,59750000000
691,4570000000
692,13770000000
693,25580000000
694,27510000000
695,15210000000
696,17430000000
697,36440000000
698,98800000000
699,21180000000
700,13360000000
701,16829999999
702,49450000000
703,58210000000
704,64349999999
705,76400000000
706,10690000000
707,34980000000
708,23510000000
709,45350000000
710,41090000000
711,8690000000
712,11930000000
713,12990000000
714,14130000000
715,94060000000
716,58170000000
717,12570000000
718,25360000000
719,14160000000
720,35500000000
721,14460000000
722,19100000000
723,50560000000
724,16899999999
725,15840000000
726,21750000000
727,8880000000
728,6930000000
729,5800000000
730,12580000000
731,35720000000
732,114000000000
733,6960000000
734,16040000000
735,24650000000
736,45070000000
737,52910000000
738,12490000000
739,17220000000
740,7620000000
741,26760000000
742,24410000000
743,16850000000
744,9750000000
745,51540000000
746,17040000000
747,5460000000
748,30130000000
749,26470000000
750,21150000000
751,17650000000
752,21930000000
753,11570000000
754,18880000000
755,14250000000
756,9190000000
757,14300000000
758,13190000000
759,17910000000
760,14100000000
761,11270000000
762,3910000000
763,18560000000
764,11230000000
765,10950000000
766,16140000000
767,9020000000
768,1750000000
769,17090000000
770,19640000000
771,15440000000
772,18430000000
773,3780000000
774,25750000000
775,22490000000
776,15480000000
777,12070000000
778,7060000000
779,33890000000
780,3090000000
781,4410000000
782,19280000000
783,23910000000
784,75770000000
785,13700000000
786,35810000000
787,10450000000
788,68660000000
789,12310000000
790,17540000000
791,14870000000
792,33030000000
793,17700000000
794,11830000000
795,23710000000
796,24240000000
797,11700000000
798,9220000000
799,4530000000
800,9050000000
801,56180000000
802,65150000000
803,41180000000
804,31500000000
805,11730000000
806,16250000000
807,35010000000
808,19040000000
809,11640000000
810,32950000000
811,14960000000
812,15540000000
813,12040000000
814,10460000000
815,14260000000
816,15850000000
817,17800000000
818,21090000000
819,28570000000
820,12330000000
821,18870000000
822,86060000000
823,7400000000
824,10950000000
825,8510000000
826,42380000000
827,48000000000
828,15290000000
829,19810000000
830,8710000000
831,8580000000
832,52020000000
833,7350000000
834,22370000000
835,12140000000
836,19260000000
837,8820000000
838,28150000000
839,20240000000
840,25270000000
841,7290000000
842,10320000000
843,9290000000
844,35530000000
845,7950000000
846,10400000000
847,14100000000
848,10000000000
849,3060000000
850,20060000000
851,11740000000
852,35670000000
853,10370000000
854,14440000000
855,24110000000
856,19320000000
857,25590000000
858,66620000000
859,5450000000
860,56310000000
861,9480000000
862,7390000000
863,26530000000
864,21460000000
865,18130000000
866,14560000000
867,17610000000
868,9940000000
869,35720000000
870,10530000000
871,42880000000
872,4620000000
873,11620000000
874,10250000000
875,7410000000
876,8920000000
877,32540000000
878,6580000000
879,8170000000
880,15710000000
881,7480000000
882,6180000000
883,4080000000
884,7640000000
885,48830000000
886,11740000000
887,14490000000
888,9280000000
889,8340000000
890,47220000000
891,12960000000
892,2820000000
893,9850000000
894,25410000000
895,4120000000
896,21190000000
897,38270000000
898,14740000000
899,8840000000
900,10790000000
901,35330000000
902,17460000000
903,13730000000
904,15380000000
905,20550000000
906,6380000000
907,38720000000
908,10980000000
909,12380000000
910,13660000000
911,25410000000
912,48300000000
913,9060000000
914,26330000000
915,5490000000
916,33470000000
917,6410000000
918,18660000000
919,11420000000
920,14320000000
921,20440000000
922,25690000000
923,44360000000
924,22740000000
925,15180000000
926,10250000000
927,10350000000
928,9690000000
929,35080000000
930,11460000000
931,2460000000
932,4720000000
933,19310000000
934,4420000000
935,47430000000
936,18040000000
937,6760000000
938,13400000000
939,21690000000
940,8359999999
941,6310000000
942,18620000000
943,13090000000
944,11580000000
945,5770000000
946,6160000000
947,7380000000
948,11000000000
949,14470000000
950,3950000000
951,15330000000
952,4130000000
953,13040000000
954,55960000000
955,18820000000
956,17980000000
957,22570000000
958,3820000000
959,16500000000
960,7240000000
961,10450000000
962,5740000000
963,14160000000
964,16780000000
965,16469999999
966,6660000000
967,4010000000
968,27700000000
969,9250000000
970,9290000000
971,5890000000
972,21540000000
973,9590000000
974,106830000000
975,6870000000
976,10840000000
977,32030000000
978,17280000000
979,10200000000
980,21730000000
981,11760000000
982,16960000000
983,26100000000
984,9820000000
985,24600000000
986,19870000000
987,27450000000
988,10650000000
989,12690000000
990,8160000000
991,13570000000
992,13200000000
993,24950000000
994,19020000000
995,18080000000
996,23290000000
997,32560000000
998,15960000000
999,9090000000
1000,11240000000
1001,8730000000
1002,38320000000
1003,4910000000
1004,62440000000
1005,9410000000
1006,18050000000
1007,8449999999
1008,15690000000
1009,8550000000
1010,62500000000
1011,12620000000
1012,7110000000
1013,22520000000
1014,16579999999
1015,8720000000
1016,10320000000
1017,30080000000
1018,15580000000
1019,19880000000
1020,23630000000
1021,3460000000
1022,7510000000
1023,29020000000
1024,5610000000
1025,18570000000
1026,6360000000
1027,26950000000
1028,6970000000
1029,11160000000
1030,8730000000
1031,19490000000
1032,8870000000
1033,36120000000
1034,46960000000
1035,15880000000
1036,8640000000
1037,39420000000
1038,22190000000
1039,12650000000
1040,12700000000
1041,12380000000
1042,12440000000
1043,18200000000
1044,6610000000
1045,33770000000
1046,3810000000
1047,7010000000
1048,34450000000
1049,55900000000
1050,28150000000
1051,28890000000
1052,10380000000
1053,15250000000
1054,3640000000
1055,9390000000
1056,49180000000
1057,18050000000
1058,11040000000
1059,8790000000
1060,4059999999
