,marketValue
1061,5530000000
1062,19110000000
1063,38510000000
1064,11790000000
1065,894000000
1066,11700000000
1067,7900000000
1068,3750000000
1069,20130000000
1070,24390000000
1071,12290000000
1072,10460000000
1073,14870000000
1074,15170000000
1075,23170000000
1076,17070000000
1077,53800000000
1078,47420000000
1079,9230000000
1080,55010000000
1081,35900000000
1082,11300000000
1083,4170000000
1084,4070000000
1085,21390000000
1086,4030000000
1087,8890000000
1088,1980000000
1089,13560000000
1090,12540000000
1091,40950000000
1092,13180000000
1093,12170000000
1094,16350000000
1095,52820000000
1096,12790000000
1097,9650000000
1098,14720000000
1099,13340000000
1100,3300000000
1101,59810000000
1102,9690000000
1103,19340000000
1104,10130000000
1105,6100000000
1106,6760000000
1107,6370000000
1108,42540000000
1109,5220000000
1110,5960000000
1111,34390000000
1112,26460000000
1113,26770000000
1114,31460000000
1115,7710000000
1116,7430000000
1117,31210000000
1118,34880000000
1119,8460000000
1120,25360000000
1121,9900000000
1122,22050000000
1123,30680000000
1124,9350000000
1125,32909999999
1126,4910000000
1127,13740000000
1128,34440000000
1129,7520000000
1130,38870000000
1131,9380000000
1132,41890000000
1133,13700000000
1134,18510000000
1135,2960000000
1136,18280000000
1137,42350000000
1138,24840000000
1139,14940000000
1140,6380000000
1141,10680000000
1142,25150000000
1143,20210000000
1144,3110000000
1145,10360000000
1146,30940000000
1147,8750000000
1148,5470000000
1149,8119999999
1150,18450000000
1151,18430000000
1152,32810000000
1153,33420000000
1154,10190000000
1155,48910000000
1156,18720000000
1157,15100000000
1158,12280000000
1159,14390000000
1160,9740000000
1161,2350000000
1162,40700000000
1163,10250000000
1164,15350000000
1165,7520000000
1166,7310000000
1167,4800000000
1168,15450000000
1169,17740000000
1170,21990000000
1171,10740000000
1172,39400000000
1173,10780000000
1174,39150000000
1175,53880000000
1176,32229999999
1177,24250000000
1178,7940000000
1179,597000000
1180,17420000000
1181,40710000000
1182,7050000000
1183,2100000000
1184,6080000000
1185,12120000000
1186,5530000000
1187,5560000000
1188,9320000000
1189,24120000000
1190,6380000000
1191,56590000000
1192,16930000000
1193,24020000000
1194,2290000000
1195,9130000000
1196,2820000000
1197,2330000000
1198,24140000000
1199,6160000000
1200,1520000000
1201,50640000000
1202,17000000000
1203,17600000000
1204,5000000000
1205,32000000
1206,8650000000
1207,3540000000
1208,5710000000
1209,29700000000
1210,17840000000
1211,22230000000
1212,9700000000
1213,6060000000
1214,6280000000
1215,13960000000
1216,14370000000
1217,30990000000
1218,6460000000
1219,14820000000
1220,18930000000
1221,37600000000
1222,8930000000
1223,1800000000
1224,26180000000
1225,55970000000
1226,26570000000
1227,17640000000
1228,4430000000
1229,7200000000
1230,25000000000
1231,14640000000
1232,4990000000
1233,24640000000
1234,22470000000
1235,6230000000
1236,7930000000
1237,7570000000
1238,12570000000
1239,13660000000
1240,5570000000
1241,22680000000
1242,46500000000
1243,3290000000
1244,4019999999
1245,9800000000
1246,13340000000
1247,2670000000
1248,28090000000
1249,3220000000
1250,17270000000
1251,4540000000
1252,5580000000
1253,3820000000
1254,6170000000
1255,31110000000
1256,3100000000
1257,13980000000
1258,5950000000
1259,6640000000
1260,16390000000
1261,29770000000
1262,14710000000
1263,5880000000
1264,2820000000
1265,5260000000
1266,4080000000
1267,9600000000
1268,25820000000
1269,3530000000
1270,2790000000
1271,16870000000
1272,6100000000
1273,33130000000
1274,10680000000
1275,2290000000
1276,28580000000
1277,4390000000
1278,25590000000
1279,9300000000
1280,5090000000
1281,37920000000
1282,15290000000
1283,3500000000
1284,14030000000
1285,9510000000
1286,11390000000
1287,41870000000
1288,15380000000
1289,2980000000
1290,16989999999
1291,6890000000
1292,3750000000
1293,3640000000
1294,8460000000
1295,5800000000
1296,6710000000
1297,1820000000
1298,3910000000
1299,630000000
1300,3060000000
1301,4810000000
1302,8650000000
1303,28970000000
1304,5910000000
1305,34040000000
1306,24990000000
1307,7210000000
1308,9450000000
1309,11870000000
1310,2910000000
1311,13430000000
1312,6550000000
1313,16550000000
1314,31500000000
1315,11020000000
1316,7250000000
1317,10990000000
1318,2940000000
1319,4170000000
1320,27010000000
1321,11090000000
1322,10600000000
1323,18620000000
1324,27030000000
1325,12730000000
1326,2480000000
1327,9870000000
1328,2029999999
1329,7080000000
1330,9620000000
1331,4720000000
1332,11900000000
1333,12040000000
1334,15090000000
1335,88570000000
1336,25740000000
1337,5050000000
1338,17920000000
1339,2530000000
1340,13660000000
1341,1100000000
1342,6920000000
1343,47120000000
1344,22880000000
1345,1400000000
1346,6810000000
1347,9680000000
1348,3820000000
1349,12170000000
1350,7070000000
1351,22230000000
1352,7570000000
1353,3750000000
1354,40550000000
1355,23100000000
1356,6700000000
1357,5450000000
1358,25630000000
1359,7380000000
1360,24000000000
1361,11790000000
1362,22050000000
1363,9700000000
1364,10210000000
1365,7670000000
1366,9420000000
1367,7200000000
1368,10650000000
1369,8500000000
1370,5370000000
1371,14580000000
1372,59690000000
1373,10090000000
1374,16270000000
1375,3110000000
1376,19140000000
1377,6810000000
1378,13940000000
1379,5710000000
1380,16270000000
1381,30590000000
1382,12330000000
1383,2570000000
1384,8660000000
1385,5570000000
1386,5170000000
1387,2360000000
1388,9860000000
1389,7840000000
1390,16550000000
1391,4099999999
1392,7820000000
1393,6080000000
1394,13170000000
1395,6390000000
1396,35110000000
1397,23950000000
1398,8470000000
1399,7690000000
1400,19850000000
1401,5340000000
1402,5560000000
1403,30990000000
1404,24280000000
1405,4269999999
1406,5720000000
1407,2460000000
1408,7760000000
1409,13210000000
1410,3660000000
1411,3960000000
1412,5060000000
1413,26380000000
1414,10870000000
1415,2060000000
1416,16989999999
1417,12130000000
1418,15670000000
1419,9090000000
1420,10300000000
1421,2200000000
1422,12030000000
1423,8359999999
1424,11940000000
1425,6110000000
1426,41060000000
1427,13890000000
1428,12030000000
1429,10040000000
1430,2430000000
1431,8180000000
1432,6510000000
1433,4240000000
1434,3100000000
1435,6270000000
1436,5040000000
1437,1630000000
1438,10450000000
1439,6330000000
1440,9610000000
1441,2770000000
1442,7030000000
1443,5930000000
1444,23860000000
1445,11730000000
1446,20900000000
1447,3850000000
1448,2390000000
1449,17610000000
1450,6870000000
1451,8039999999
1452,4550000000
1453,30400000000
1454,12930000000
1455,2920000000
1456,5020000000
1457,6200000000
1458,3230000000
1459,4400000000
1460,10800000000
1461,30750000000
1462,11320000000
1463,19970000000
1464,19430000000
1465,43730000000
1466,20520000000
1467,9640000000
1468,15550000000
1469,6360000000
1470,8720000000
1471,8950000000
1472,11870000000
1473,3300000000
1474,348000000
1475,16410000000
1476,7840000000
1477,7280000000
1478,9420000000
1479,14090000000
1480,4520000000
1481,6890000000
1482,8350000000
1483,5280000000
1484,7590000000
1485,1450000000
1486,8359999999
1487,531000000
1488,7870000000
1489,11970000000
1490,4230000000
1491,2210000000
1492,20010000000
1493,2400000000
1494,7210000000
1495,22240000000
1496,15210000000
1497,20610000000
1498,13840000000
1499,4010000000
1500,4650000000
1501,22180000000
1502,5230000000
1503,16030000000
1504,25570000000
1505,3990000000
1506,6930000000
1507,22850000000
1508,3490000000
1509,4640000000
1510,2490000000
1511,12300000000
1512,6580000000
1513,128000000
1514,6760000000
1515,6940000000
1516,1600000000
1517,17030000000
1518,2960000000
1519,7840000000
1520,3790000000
1521,1910000000
1522,19120000000
1523,5490000000
1524,4690000000
1525,3850000000
1526,6580000000
1527,11710000000
1528,79190000000
1529,55660000000
1530,7310000000
1531,3860000000
1532,23630000000
1533,29250000000
1534,5470000000
1535,18700000000
1536,7860000000
1537,4400000000
1538,11300000000
1539,24490000000
1540,3120000000
1541,4900000000
1542,4460000000
1543,10460000000
1544,4750000000
1545,6860000000
1546,4850000000
1547,6470000000
1548,16510000000
1549,3790000000
1550,19140000000
1551,13800000000
1552,9000000000
1553,5940000000
1554,27360000000
1555,47000000000
1556,14210000000
1557,1440000000
1558,3530000000
1559,19360000000
1560,2870000000
1561,4330000000
1562,2520000000
1563,5980000000
1564,4720000000
1565,4510000000
1566,22620000000
1567,4750000000
1568,5610000000
1569,23490000000
1570,11560000000
1571,7110000000
1572,3430000000
1573,5480000000
1574,3070000000
1575,3560000000
1576,6760000000
1577,1180000000
1578,4350000000
1579,4390000000
1580,1030000000
1581,8000000000
1582,13770000000
1583,4310000000
1584,7500000000
1585,15460000000
1586,9060000000
1587,13540000000
1588,14610000000
1589,14460000000
1590,9670000000
1591,8390000000
1592,4420000000
1593,4000000000
1594,10370000000
1595,8720000000
1596,56650000000
1597,5060000000
1598,14670000000
1599,17520000000
1600,2750000000
1601,4930000000
1602,19950000000
1603,3820000000
1604,3060000000
1605,18520000000
1606,24540000000
1607,4170000000
1608,8119999999
1609,6850000000
1610,7010000000
1611,9150000000
1612,15430000000
1613,13770000000
1614,5380000000
1615,8330000000
1616,8150000000
1617,3710000000
1618,10120000000
1619,27360000000
1620,20440000000
1621,6160000000
1622,11630000000
1623,393000000
1624,13840000000
1625,5220000000
1626,1850000000
1627,7920000000
1628,28460000000
1629,18550000000
1630,4320000000
1631,26140000000
1632,2150000000
1633,50100000000
1634,4570000000
1635,2830000000
1636,16540000000
1637,16450000000
1638,3060000000
1639,1680000000
1640,12220000000
1641,18950000000
1642,931000000
1643,24460000000
1644,17780000000
1645,7290000000
1646,30530000000
1647,6550000000
1648,18070000000
1649,4940000000
1650,35320000000
1651,1960000000
1652,2540000000
1653,3090000000
1654,6180000000
1655,3500000000
1656,46830000000
1657,10420000000
1658,3990000000
1659,16579999999
1660,5420000000
1661,4230000000
1662,1350000000
1663,1900000000
1664,9270000000
1665,14140000000
1666,1570000000
1667,2550000000
1668,6020000000
1669,2620000000
1670,927000000
1671,1700000000
1672,364000000
1673,593000000
1674,14190000000
1675,10890000000
1676,3710000000
1677,6960000000
1678,1160000000
1679,1550000000
1680,18670000000
1681,7030000000
1682,2040000000
1683,3690000000
1684,10630000000
1685,3770000000
1686,3710000000
1687,30160000000
1688,12670000000
1689,204000000
1690,10460000000
1691,5150000000
1692,21040000000
1693,4630000000
1694,2250000000
1695,6190000000
1696,3810000000
1697,18010000000
1698,817000000
1699,4600000000
1700,1610000000
1701,1410000000
1702,3800000000
1703,2770000000
1704,20970000000
1705,6410000000
1706,9260000000
1707,28620000000
1708,6990000000
1709,1190000000
1710,8710000000
1711,13390000000
1712,3010000000
1713,14390000000
1714,9600000000
1715,2530000000
1716,13790000000
1717,1560000000
1718,7220000000
1719,9080000000
1720,6240000000
1721,12620000000
1722,6060000000
1723,5330000000
1724,5560000000
1725,461000000
1726,10640000000
1727,14410000000
1728,37480000000
1729,3610000000
1730,13820000000
1731,995000000
1732,13070000000
1733,22890000000
1734,12060000000
1735,8560000000
1736,4310000000
1737,4070000000
1738,9850000000
1739,2780000000
1740,3990000000
1741,23050000000
1742,3670000000
1743,9590000000
1744,9060000000
1745,5700000000
1746,3440000000
1747,11550000000
1748,2940000000
1749,3530000000
1750,18890000000
1751,3400000000
1752,4570000000
1753,34930000000
1754,2760000000
1755,18040000000
1756,19180000000
1757,3010000000
1758,1560000000
1759,1020000000
1760,5630000000
1761,4970000000
1762,14430000000
1763,9200000000
1764,1760000000
1765,1210000000
1766,2009999999
1767,8960000000
1768,1380000000
1769,12350000000
1770,3910000000
1771,8890000000
1772,21000000000
1773,1230000000
1774,760000000
1775,111000000
1776,11700000000
1777,7570000000
1778,14460000000
1779,12530000000
1780,881000000
1781,6110000000
1782,609000000
1783,4410000000
1784,1600000000
1785,2550000000
1786,8529999999
1787,1370000000
1788,5220000000
1789,31550000000
1790,1880000000
1791,13390000000
1792,27720000000
1793,8449999999
1794,5290000000
1795,3900000000
1796,4880000000
1797,31190000000
1798,2620000000
1799,12310000000
1800,4420000000
1801,2930000000
1802,31020000000
1803,17230000000
1804,3530000000
1805,3680000000
1806,16420000000
1807,30750000000
1808,30750000000
1809,2350000000
1810,4530000000
1811,30480000000
1812,2370000000
1813,2550000000
1814,15940000000
1815,25360000000
1816,6950000000
1817,7890000000
1818,4480000000
1819,5440000000
1820,29970000000
1821,7710000000
1822,29680000000
1823,8490000000
1824,21880000000
1825,29700000000
1826,3210000000
1827,5030000000
1828,3720000000
1829,4990000000
1830,1790000000
1831,3770000000
1832,3100000000
1833,29000000000
1834,1270000000
1835,5640000000
1836,28890000000
1837,9350000000
1838,9770000000
1839,8000000000
1840,28550000000
1841,9950000000
1842,9870000000
1843,27830000000
1844,10670000000
1845,12210000000
1846,11310000000
1847,1340000000
1848,3300000000
1849,2060000000
1850,7880000000
1851,11710000000
1852,9990000000
1853,3000000000
1854,2460000000
1855,1390000000
1856,1170000000
1857,2590000000
1858,17010000000
1859,3820000000
1860,2300000000
1861,5770000000
1862,4200000000
1863,3400000000
1864,12360000000
1865,359000000
1866,660000000
1867,3580000000
1868,26410000000
1869,1420000000
1870,5630000000
1871,13290000000
1872,9230000000
1873,1090000000
1874,1680000000
1875,11480000000
1876,3560000000
1877,9860000000
1878,25890000000
1879,6240000000
1880,4310000000
1881,25690000000
1882,1290000000
1883,1220000000
1884,18180000000
1885,3840000000
1886,8570000000
1887,7870000000
1888,4170000000
1889,1460000000
1890,11290000000
1891,13700000000
1892,733000000
1893,4480000000
1894,5150000000
1895,3520000000
1896,6970000000
1897,1200000000
1898,16329999999
1899,829000000
1900,1380000000
1901,3740000000
1902,24890000000
1903,1640000000
1904,11950000000
1905,1730000000
1906,2120000000
1907,1890000000
1908,12780000000
1909,8600000000
1910,4170000000
1911,1220000000
1912,4900000000
1913,11990000000
1914,24560000000
1915,2200000000
1916,18700000000
1917,988000000
1918,24470000000
1919,19450000000
1920,717000000
1921,22620000000
1922,23820000000
1923,5260000000
1924,3130000000
1925,14720000000
1926,2520000000
1927,24280000000
1928,10890000000
1929,3760000000
1930,718000000
1931,2780000000
1932,9420000000
1933,4280000000
1934,12770000000
1935,24030000000
1936,3090000000
1937,2230000000
1938,23900000000
1939,6040000000
1940,1200000000
1941,12720000000
1942,569000000
1943,2160000000
1944,15730000000
1945,15710000000
1946,5820000000
1947,2680000000
1948,23280000000
1949,19950000000
1950,5450000000
1951,4099999999
1952,9120000000
1953,579000000
1954,612000000
1955,2230000000
1956,2049999999
1957,11910000000
1958,874000000
1959,4790000000
1960,3610000000
1961,3310000000
1962,2320000000
1963,22860000000
1964,6860000000
1965,9350000000
1966,13400000000
1967,2650000000
1968,14580000000
1969,420000000
1970,3270000000
1971,2120000000
1972,1260000000
1973,5070000000
1974,5310000000
1975,1540000000
1976,5260000000
1977,975000000
1978,22340000000
1979,5430000000
1980,432000000
1981,522000000
1982,6500000000
1983,10140000000
1984,4620000000
1985,9310000000
1986,22050000000
1987,15140000000
1988,10460000000
1989,11850000000
1990,11580000000
1991,6460000000
1992,497000000
1993,7630000000
1994,3150000000
1995,1620000000
1996,3010000000
1997,2850000000
1998,4370000000
1999,2710000000
2000,17110000000
2001,10030000000
2002,2610000000
2003,8490000000
2004,21440000000
2005,10470000000
2006,11920000000
2007,1680000000
2008,8300000000
2009,12260000000
2010,10430000000
2011,11750000000
2012,7340000000
2013,19160000000
2014,11780000000
2015,551000000
2016,600000000
2017,5620000000
2018,20580000000
2019,11240000000
2020,5420000000
2021,2220000000
2022,679000000
2023,3240000000
2024,5550000000
2025,2410000000
2026,3250000000
2027,2310000000
2028,1110000000
2029,4200000000
2030,4410000000
2031,9650000000
2032,19680000000
2033,2960000000
2034,1250000000
2035,8750000000
2036,2460000000
2037,768000000
2038,188000000
2039,4080000000
2040,2610000000
2041,7510000000
2042,19600000000
2043,5990000000
2044,785000000
2045,4620000000
2046,15600000000
2047,3170000000
2048,5600000000
2049,2490000000
2050,10210000000
